cik,name,alias,alias_clean,alias_source
0000002186,BK TECHNOLOGIES CORP,Relm Wireless Corp,relm wireless,ticker_map_name
0000004281,HOWMET AEROSPACE INC,Alcoa Inc,alcoa,ticker_map_name
0000004457,U-HAUL HOLDING CO,Amerco,amerco,ticker_map_name
0000006176,AMPCO-PITTSBURGH CORP,Ampco Pittsburgh Corp,ampco pittsburgh,ticker_map_name
0000006955,ENERPAC TOOL GROUP CORP,Actuant Corp,actuant,ticker_map_name
0000007084,ARCHER-DANIELS-MIDLAND CO,Archer Daniels Midland Co,archer daniels midland,ticker_map_name
0000007623,ARTS WAY MFG INC,Arts Way Manufacturing Co Inc,arts way manufacturing,ticker_map_name
0000008146,ASTRONOVA INC,Astro Med Inc,astro med,ticker_map_name
0000008504,AGEAGLE AERIAL SYSTEMS,Enerjex Resources Inc,enerjex resources,ticker_map_name
0000009326,BALCHEM CORP  -CL B,Balchem Corp,balchem,ticker_map_name
0000010329,BASSETT FURNITURE INDS,Bassett Furniture Industries Inc,bassett furniture industries,ticker_map_name
0000012208,BIO-RAD LABORATORIES INC,Bio Rad Laboratories Inc,bio rad laboratories,ticker_map_name
0000012239,DOMINARI HOLDINGS INC,Spherix Inc,spherix,ticker_map_name
0000012659,BLOCK H & R INC,H&R Block Inc,hr block,ticker_map_name
0000014272,BRISTOL-MYERS SQUIBB CO,Bristol Myers Squibb Co,bristol myers squibb,ticker_map_name
0000014707,CALERES INC,Brown Shoe Co Inc,brown shoe,ticker_map_name
0000014846,BRT APARTMENTS CORP,BRT Realty Trust,brt realty trust,ticker_map_name
0000016058,CACI INTL INC  -CL A,Caci International Inc,caci international,ticker_map_name
0000016160,CAL-MAINE FOODS INC,Cal Maine Foods Inc,cal maine foods,ticker_map_name
0000016732,CAMPBELL'S CO (THE),Campbell Soup Co,campbell soup,ticker_map_name
0000018255,CATO CORP  -CL A,Cato Corp,cato,ticker_map_name
0000018926,LUMEN TECHNOLOGIES INC,Centurylink Inc,centurylink,ticker_map_name
0000020520,FRONTIER COMMUNIC PARENT INC,Frontier Communications Corp,frontier communications,ticker_map_name
