cik,name,name_clean,ticker,gvkey,sic,name_source
0000001750,AAR CORP,aar,AIR,1004,5080.0,base
0000001800,ABBOTT LABORATORIES,abbott laboratories,ABT,1078,3845.0,base
0000001961,WORLDS INC,worlds,WDDD,1084,7370.0,base
0000002098,ACME UNITED CORP,acme united,ACU,1104,3842.0,base
0000002178,ADAMS RESOURCES & ENERGY INC,adams resources energy,AE,1121,5172.0,crosswalk
0000002186,BK Technologies Corp,bk technologies,RWC,1117,3663.0,base
0000002488,ADVANCED MICRO DEVICES INC,advanced micro devices,AMD,1161,3674.0,base
0000002969,"Air Products & Chemicals, Inc.",air products chemicals,APD,1209,2810.0,base
0000003146,SPIRE ALABAMA INC,spire alabama,,1224,4924.0,base
0000003153,ALABAMA POWER CO,alabama power,ALPPRN,1225,4911.0,base
0000003197,CECO ENVIRONMENTAL CORP,ceco environmental,CECE,1050,3564.0,base
0000003453,"Matson, Inc.",matson,MATX,1254,4400.0,base
0000003499,ALEXANDERS INC,alexanders,ALX,1257,6798.0,base
0000003545,"ALICO, INC.",alico,ALCO,1266,100.0,base
0000003570,"Cheniere Energy, Inc.",cheniere energy,LNG,29453,1311.0,base
0000004127,"SKYWORKS SOLUTIONS, INC.",skyworks solutions,SWKS,1327,3674.0,base
0000004281,Howmet Aerospace Inc.,howmet aerospace,AA,28192,3728.0,base
0000004447,HESS CORP,hess,HES,1380,1311.0,base
0000004457,U-Haul Holding Co /NV/,uhaul holding co nv,UHAL,1393,7510.0,base
0000004515,"AMERICAN AIRLINES, INC.",american airlines,,1388,4512.0,base
0000004904,AMERICAN ELECTRIC POWER CO INC,american electric power,AEP,1440,4911.0,base
0000004962,AMERICAN EXPRESS CO,american express,AXP,1447,6141.0,base
0000004977,AFLAC INC,aflac,AFL,1449,6321.0,base
0000005272,"AMERICAN INTERNATIONAL GROUP, INC.",american international group,AIG,1487,6331.0,base
0000005513,Unum Group,unum,UNM,12726,6321.0,base
0000005981,AMERICAN VANGUARD CORP,american vanguard,AVD,1585,2870.0,base
0000006176,AMPCO PITTSBURGH CORP,ampco pittsburgh,AP,1613,3312.0,base
0000006201,American Airlines Group Inc.,american airlines,AAL,1045,4512.0,base
0000006207,AMREP CORP.,amrep,AXR,1618,6552.0,base
0000006281,ANALOG DEVICES INC,analog devices,ADI,1632,3674.0,base
0000006769,Apache Corp,apache,APA,,1311.0,ticker_map
0000006845,"APOGEE ENTERPRISES, INC.",apogee enterprises,APOG,1686,3442.0,base
0000006879,APPALACHIAN POWER CO,appalachian power,,1689,4911.0,base
0000006951,APPLIED MATERIALS INC /DE,applied materials inc de,AMAT,1704,3559.0,base
0000006955,ENERPAC TOOL GROUP CORP,enerpac tool,ATU,1706,3533.0,base
0000007084,Archer-Daniels-Midland Co,archerdanielsmidland,ADM,1722,2070.0,base
0000007286,ARIZONA PUBLIC SERVICE CO,arizona public service,,1742,4911.0,base
0000007323,"ENTERGY ARKANSAS, LLC",entergy arkansas,,1745,4911.0,base
0000007332,SOUTHWESTERN ENERGY CO,southwestern energy,SWN,9904,1311.0,crosswalk
0000007431,ARMSTRONG WORLD INDUSTRIES INC,armstrong world industries,AWI,175689,3290.0,base
0000007536,"ARROW ELECTRONICS, INC.",arrow electronics,ARW,1773,5065.0,base
0000007623,ARTS WAY MANUFACTURING CO INC,arts way manufacturing,ARTW,1783,3523.0,base
0000007789,ASSOCIATED BANC-CORP,associated banccorp,ASBC,11842,6020.0,base
0000008063,ASTRONICS CORP,astronics,ATRO,1823,3640.0,base
0000008146,"AstroNova, Inc.",astronova,ALOT,1820,3577.0,base
0000008177,ATLANTIC AMERICAN CORP,atlantic american,AAME,16671,6321.0,base
0000008192,ATLANTIC CITY ELECTRIC CO,atlantic city electric,,14437,4911.0,base
0000008504,AgEagle Aerial Systems Inc.,ageagle aerial systems,EJXR,27339,3721.0,base
0000008670,AUTOMATIC DATA PROCESSING INC,automatic data processing,ADP,1891,7374.0,base
