sentence_id,sentence,source_cik,source_year,source_form,source_file,sentence_index,legacy_candidate_label,label,review_note,legacy_benchmark_asset_role,legacy_assistive_label,legacy_assistive_confidence,legacy_assistive_rationale,legacy_assistive_model,legacy_assistive_generated_at,legacy_assistive_prompt_hash,assistive_label,assistive_confidence,assistive_rationale,assistive_model,assistive_generated_at,assistive_prompt_hash,is_uncertain,uncertainty_note,benchmark_name,benchmark_asset_role,review_status,rubric_version,recovery_source_path,recovery_generated_at,prelabel_eligible,skip_reason,binary_prob_irrelevant,binary_prob_non_irrelevant,binary_label,logreg_prob_actionable,logreg_prob_speculative,logreg_prob_irrelevant,logreg_label,local_prob_actionable,local_prob_speculative,local_prob_irrelevant,local_label,local_confidence,conditional_as_prob_actionable,conditional_as_prob_speculative,conditional_as_margin,binary_logreg_relevance_disagreement,api_a_label,api_b_label,deferred__local_only,final_label__local_only,deferred__api_a_low_conf_060,final_label__api_a_low_conf_060,deferred__api_a_low_as_margin_015,final_label__api_a_low_as_margin_015,deferred__api_a_component_disagreement,final_label__api_a_component_disagreement,deferred__api_a_conf_or_margin,final_label__api_a_conf_or_margin,deferred__api_a_conf_or_margin_or_disagreement,final_label__api_a_conf_or_margin_or_disagreement,deferred__oracle_error_only,final_label__oracle_error_only
72e22e5907b57545,"Developers and Enterprises We serve developers and enterprises of all sizes, including start-ups, government agencies, and academic institutions, through AWS, which offers a broad set of on-demand technology services, including compute, storage, database, analytics, and machine learning, and other services.",1018724,2021,10-K,2021/QTR1/20210203_10-K_edgar_data_1018724_0001018724-21-000004.txt,1,Actionable,Actionable,,canonical_current_rubric_evaluation_set_candidate,Actionable,high,States present factual offering of AWS services to developers and enterprises.,gpt-5-mini,2026-03-17T21:40:30.675727+00:00,544118716108b8b5e1b770020bdf513096d6c4326a2cd6bf6e66f7d0356c9beb,Actionable,high,States AWS currently offers machine learning services as part of its on-demand technology service offerings.,gpt-5-mini,2026-04-08T20:48:10.731093+00:00,3dfaf622034b106965ef6d98cf15b1158eea00a850a9ef7b3bd8706680b8d661,,,held_out_v3,canonical_current_rubric_evaluation_set_candidate_v3,labelled,track_a_as_rubric_rewrite_v1,/Users/soheilkhodadadi/Documents/Projects/semantic-patterns/data/validation/recovery_sources/held_out_sentences_v2_review_sheet_10k_only_clean_prelabeled_recovered.csv,2026-04-08T19:55:02.746094+00:00,True,,0.12224855106117216,0.8777514489388278,Non-Irrelevant,0.6379486976752938,0.2843570988451122,0.07769420347959408,Actionable,0.6071309492423193,0.2706204996965087,0.12224855106117216,Actionable,0.6071309492423193,0.6916889171488355,0.30831108285116454,0.38337783429767097,False,Actionable,,False,Actionable,False,Actionable,False,Actionable,False,Actionable,False,Actionable,False,Actionable,False,Actionable
041b8fbcd1ea8ff9,"Core Lab's extensive, proprietary databases and analog technologies, coupled with artificial intelligence AI and machine learning, help our clients improve efficiencies and lower operating costs throughout the upstream value chain.",1000229,2021,10-K,2021/QTR1/20210208_10-K_edgar_data_1000229_0001564590-21-004561.txt,1,Irrelevant,Actionable,,canonical_current_rubric_evaluation_set_candidate,Actionable,high,Firm states current use of proprietary data and AI/ML helping clients improve efficiencies and reduce costs.,gpt-5-mini,2026-03-17T21:40:33.864387+00:00,eea8284b760ecb11f29eb2408b6010fcf3e0a62cbd6571534e50a47de53bdc8e,Actionable,high,States Core Lab currently uses proprietary data and AI/ML to help clients improve efficiencies and reduce costs — a present firm capability/offering.,gpt-5-mini,2026-04-08T20:48:14.082280+00:00,9d8a05c7872d37131c5634618a487eb40d936a41bde4be409ac12899704d4ba5,,,held_out_v3,canonical_current_rubric_evaluation_set_candidate_v3,labelled,track_a_as_rubric_rewrite_v1,/Users/soheilkhodadadi/Documents/Projects/semantic-patterns/data/validation/recovery_sources/held_out_sentences_v2_review_sheet_10k_only_clean_prelabeled_recovered.csv,2026-04-08T19:55:02.746094+00:00,True,,0.0581981741155323,0.9418018258844677,Non-Irrelevant,0.637691545998075,0.33290058613335405,0.029407867868570914,Actionable,0.6187759435605552,0.3230258823239125,0.0581981741155323,Actionable,0.6187759435605552,0.6570128943840691,0.34298710561593093,0.31402578876813814,False,Actionable,,False,Actionable,False,Actionable,False,Actionable,False,Actionable,False,Actionable,False,Actionable,False,Actionable
7e079ef80866c1f1,"Our research and development efforts are focused on the following strategic priorities: Seize the cloud transition to gain share across our three customer verticals: Cloud, Service Provider, and Enterprise Differentiate with innovation in networking, security and software orchestration Leverage automation and AI to deliver simplicity of operations for our customers We believe the network needs for our customers in our Cloud, Service Provider, and Enterprise verticals are converging as these customers recognize the need for high-performance networks and are adopting cloud architectures for their infrastructure and service delivery, such as large public and private data centers and service provider edge data centers, for improved agility and greater levels of operating efficiency.",1043604,2021,10-K,2021/QTR1/20210212_10-K_edgar_data_1043604_0001043604-21-000013.txt,5,Speculative,Speculative,,canonical_current_rubric_evaluation_set_candidate,Speculative,high,"Describes strategic priorities and intentions, not a present factual claim of current capability or offering.",gpt-5-mini,2026-03-17T21:40:37.037029+00:00,ce85a10be27748ddfec7ed9d1f1ad24827bddba7731a3fd687aa76efc560f26c,Speculative,high,"Describes strategic priorities and intent to leverage AI (future/planned), not a present or past factual claim of current capability or deployment.",gpt-5-mini,2026-04-08T20:48:16.408928+00:00,5e5282a65a13db9c99c17af54c25bdf0ef09f4fc120ad9eed8103e0d2f266e6d,,,held_out_v3,canonical_current_rubric_evaluation_set_candidate_v3,labelled,track_a_as_rubric_rewrite_v1,/Users/soheilkhodadadi/Documents/Projects/semantic-patterns/data/validation/recovery_sources/held_out_sentences_v2_review_sheet_10k_only_clean_prelabeled_recovered.csv,2026-04-08T19:55:02.746094+00:00,True,,0.11058902600836895,0.889410973991631,Non-Irrelevant,0.47994536175221103,0.44856779658516144,0.0714868416626274,Actionable,0.4597335727833577,0.4296774012082734,0.11058902600836895,Actionable,0.4597335727833577,0.5168966723224663,0.4831033276775338,0.0337933446449325,False,Speculative,,False,Actionable,True,Speculative,True,Speculative,False,Actionable,True,Speculative,True,Speculative,True,Speculative
0d41f105ac513407,"We are focused on continued investment in four key areas of digital: IoT, AI, experience-driven software engineering and cloud.",1058290,2021,10-K,2021/QTR1/20210212_10-K_edgar_data_1058290_0001058290-21-000031.txt,1,Speculative,Speculative,,canonical_current_rubric_evaluation_set_candidate,Speculative,high,"Describes intention to invest/continue focus—forward-looking, not a present factual capability or offering.",gpt-5-mini,2026-03-17T21:40:39.695544+00:00,a50c8b52d675c7d0e96afe77e92fc5d48e35e071cb38c2b7d94befcc997e8e7c,Speculative,high,States intent to continue investing (future/ongoing) rather than asserting a current implemented AI capability or product.,gpt-5-mini,2026-04-08T20:48:20.424588+00:00,9983ad24cad6f2c36e307a32a7759c720b9c514796a6fe494269edfceca1992a,,,held_out_v3,canonical_current_rubric_evaluation_set_candidate_v3,labelled,track_a_as_rubric_rewrite_v1,/Users/soheilkhodadadi/Documents/Projects/semantic-patterns/data/validation/recovery_sources/held_out_sentences_v2_review_sheet_10k_only_clean_prelabeled_recovered.csv,2026-04-08T19:55:02.746094+00:00,True,,0.1379637931516179,0.8620362068483821,Non-Irrelevant,0.14740842606559557,0.7879343344929979,0.0646572394414065,Speculative,0.13585543805052624,0.726180768797856,0.1379637931516179,Speculative,0.726180768797856,0.15759829688269805,0.842401703117302,0.684803406234604,False,Speculative,,False,Speculative,False,Speculative,False,Speculative,False,Speculative,False,Speculative,False,Speculative,False,Speculative
d4d771bb106bf4c0,"It incorporates AI in the form of predictive and machine-learning analytics, as well as business rules, and executes these decisions in real time to evaluate the context of each customer interaction and dynamically deliver the most relevant action, offer, content, and channel.",1013857,2021,10-K,2021/QTR1/20210217_10-K_edgar_data_1013857_0001013857-21-000032.txt,3,Actionable,Actionable,,canonical_current_rubric_evaluation_set_candidate,Actionable,high,States present use of AI capabilities to evaluate interactions and deliver actions in real time.,gpt-5-mini,2026-03-17T21:40:41.382252+00:00,ba7f806eecafaf64dd7be5eae7d31473d1f8535e52f96102a00900fa80727e3f,Actionable,high,States present capability: real-time AI/ML predictive analytics driving decisions and delivery within customer interactions.,gpt-5-mini,2026-04-08T20:48:22.669126+00:00,7be7c5980fe00ff2d134e3ac5e1b520f4c1a9d4ef2d0641d187b52373b11f4b4,,,held_out_v3,canonical_current_rubric_evaluation_set_candidate_v3,labelled,track_a_as_rubric_rewrite_v1,/Users/soheilkhodadadi/Documents/Projects/semantic-patterns/data/validation/recovery_sources/held_out_sentences_v2_review_sheet_10k_only_clean_prelabeled_recovered.csv,2026-04-08T19:55:02.746094+00:00,True,,0.06794498852060171,0.9320550114793983,Non-Irrelevant,0.8859289055060681,0.09038460044096205,0.023686494052969877,Actionable,0.8457677489470162,0.08628726253238203,0.06794498852060171,Actionable,0.8457677489470162,0.907422564688083,0.09257743531191698,0.814845129376166,False,Actionable,,False,Actionable,False,Actionable,False,Actionable,False,Actionable,False,Actionable,False,Actionable,False,Actionable
8568f96ca324f58a,"Machine Learning also supports important strategic and operational decisions such as site expansion, testing marketplace performance, and experimentation with improved formats.",1046102,2021,10-K,2021/QTR1/20210218_10-K_edgar_data_1046102_0001558370-21-001228.txt,2,Irrelevant,Irrelevant,,canonical_current_rubric_evaluation_set_candidate,Speculative,high,"Describes intended/expected support by ML, not stating a firm-specific current/past factual claim.",gpt-5-mini,2026-03-17T21:40:43.647104+00:00,41e56777739cbc04a887fbe28a1ea4b6060cd1cf0f5dc6c3886753b0b6097738,Irrelevant,high,"Generic statement about ML benefits, not a firm-specific present/past capability, product, or investment claim.",gpt-5-mini,2026-04-08T20:48:26.402644+00:00,c05aa332acaf1136cb4ccd8b3348daee84f92b971711678330efc0b91e586005,,,held_out_v3,canonical_current_rubric_evaluation_set_candidate_v3,labelled,track_a_as_rubric_rewrite_v1,/Users/soheilkhodadadi/Documents/Projects/semantic-patterns/data/validation/recovery_sources/held_out_sentences_v2_review_sheet_10k_only_clean_prelabeled_recovered.csv,2026-04-08T19:55:02.746094+00:00,True,,0.3125314265100695,0.6874685734899305,Non-Irrelevant,0.41509074981796806,0.3522744510011971,0.23263479918083482,Actionable,0.37187227846871257,0.31559629502121794,0.3125314265100695,Actionable,0.37187227846871257,0.5409298589183574,0.4590701410816425,0.08185971783671492,False,Irrelevant,,False,Actionable,True,Irrelevant,True,Irrelevant,False,Actionable,True,Irrelevant,True,Irrelevant,True,Irrelevant
ac904543e9c2558a,"Overall, our technology and market strategy is well aligned with trends such as artificial intelligence, mobile connectivity and high performance computing that drive the Semiconductor market.",103145,2021,10-K,2021/QTR1/20210222_10-K_edgar_data_103145_0001558370-21-001358.txt,2,Irrelevant,Irrelevant,,canonical_current_rubric_evaluation_set_candidate,Speculative,high,Forward-looking alignment/strategy statement without concrete present/past factual AI use or investment.,gpt-5-mini,2026-03-17T21:40:44.826420+00:00,897dbf4c05db662da10ca6cbd56e729b4cf179f7b10b367bb91cf84417bdd8d2,Irrelevant,high,"Generic market alignment statement, not a present or past factual claim of AI capability, product, or investment by the firm.",gpt-5-mini,2026-04-08T20:48:29.232994+00:00,ce21f1576536e4a77ceaaab3bb769e07ea29bdc459454230a8a77bf9e788b385,,,held_out_v3,canonical_current_rubric_evaluation_set_candidate_v3,labelled,track_a_as_rubric_rewrite_v1,/Users/soheilkhodadadi/Documents/Projects/semantic-patterns/data/validation/recovery_sources/held_out_sentences_v2_review_sheet_10k_only_clean_prelabeled_recovered.csv,2026-04-08T19:55:02.746094+00:00,True,,0.15344207904431173,0.8465579209556883,Non-Irrelevant,0.18375177865499673,0.730230838749556,0.08601738259544733,Speculative,0.17019636998329307,0.6763615509723951,0.15344207904431173,Speculative,0.6763615509723951,0.20104515682891086,0.7989548431710891,0.5979096863421782,False,Irrelevant,,False,Speculative,False,Speculative,False,Speculative,False,Speculative,False,Speculative,False,Speculative,True,Irrelevant
26ed69b95243d415,The MakeSpace JV utilizes data analytics and machine learning to provide effective customer acquisition and a convenient and seamless consumer storage experience.,1020569,2021,10-K,2021/QTR1/20210224_10-K_edgar_data_1020569_0001020569-21-000067.txt,2,Actionable,Actionable,,canonical_current_rubric_evaluation_set_candidate,Actionable,high,Explicit present claim of using ML/data analytics to deliver customer acquisition and service capability.,gpt-5-mini,2026-03-17T21:40:46.459181+00:00,d5f6deb4f10b937d2404369711d9d041c80020932f3d732c11032b7af8ca4e0e,Actionable,high,States present use of ML/data analytics in the firm's customer acquisition and product experience—concrete current operational capability.,gpt-5-mini,2026-04-08T20:48:31.681512+00:00,26b1f948e7d0905eaad670c131618918d90523bdc21d04bf506f1098820f6dcf,,,held_out_v3,canonical_current_rubric_evaluation_set_candidate_v3,labelled,track_a_as_rubric_rewrite_v1,/Users/soheilkhodadadi/Documents/Projects/semantic-patterns/data/validation/recovery_sources/held_out_sentences_v2_review_sheet_10k_only_clean_prelabeled_recovered.csv,2026-04-08T19:55:02.746094+00:00,True,,0.08447974443994588,0.9155202555600541,Non-Irrelevant,0.7996927283791851,0.1632892450762965,0.03701802654451819,Actionable,0.7602789161546801,0.155241339405374,0.08447974443994588,Actionable,0.7602789161546801,0.8304337468640629,0.16956625313593712,0.6608674937281258,False,Actionable,,False,Actionable,False,Actionable,False,Actionable,False,Actionable,False,Actionable,False,Actionable,False,Actionable
b3365882c4785002,"We are capitalizing on technology advances in robotic process automation and artificial intelligence to improve our marketing, call center and back office efficiency.",1031203,2021,10-K,2021/QTR1/20210224_10-K_edgar_data_1031203_0001031203-21-000007.txt,1,Irrelevant,Actionable,,canonical_current_rubric_evaluation_set_candidate,Actionable,high,States present factual use of RPA and AI to improve specific operations.,gpt-5-mini,2026-03-17T21:40:48.113694+00:00,c9b91bccab85c7209c26eb930eca6fd075811cc227c4fdb81e1ab082c96547e3,Actionable,high,"Present factual claim of using RPA and AI to improve specific internal workflows (marketing, call center, back office).",gpt-5-mini,2026-04-08T20:48:34.515103+00:00,bc2ee92122e6eed152ddecf7d23d0aabfce2bac30d025908c92779af38391aaa,,,held_out_v3,canonical_current_rubric_evaluation_set_candidate_v3,labelled,track_a_as_rubric_rewrite_v1,/Users/soheilkhodadadi/Documents/Projects/semantic-patterns/data/validation/recovery_sources/held_out_sentences_v2_review_sheet_10k_only_clean_prelabeled_recovered.csv,2026-04-08T19:55:02.746094+00:00,True,,0.13568232093072363,0.8643176790692764,Non-Irrelevant,0.2199400517192434,0.7111105788647445,0.06894936941601201,Speculative,0.2041758727096472,0.6601418063596293,0.13568232093072363,Speculative,0.6601418063596293,0.23622781027632112,0.763772189723679,0.5275443794473579,False,Actionable,,False,Speculative,False,Speculative,False,Speculative,False,Speculative,False,Speculative,False,Speculative,True,Actionable
6ba7b540d4756d27,"During the year we have also made investments to support remote work arrangements and upgrade our data center to enhance the security, stability and capacity of our IT infrastructure as well as further leveraged and applied our AI technology across a student's academic life cycle which enables us to efficiently serve prospective students and customize our outreach and engagement with current students to help them stay and succeed in school.",1046568,2021,10-K,2021/QTR1/20210224_10-K_edgar_data_1046568_0001564590-21-008099.txt,3,Irrelevant,Actionable,,canonical_current_rubric_evaluation_set_candidate,Actionable,high,Describes past investments and current use of AI technology to serve and customize student engagement.,gpt-5-mini,2026-03-17T21:40:49.539118+00:00,a1fac6ca713daee979781ce0203c9d37d81b8ef35cc216aec8a9a7bcb50de870,Actionable,high,"States past investments and current application of AI to student lifecycle, enabling outreach/customization—clear present/past firm capability claim.",gpt-5-mini,2026-04-08T20:48:37.786162+00:00,6e669e0f3e6ba803be066b7ef14cae37c2536fcd6266b9da454ed09748263d64,,,held_out_v3,canonical_current_rubric_evaluation_set_candidate_v3,labelled,track_a_as_rubric_rewrite_v1,/Users/soheilkhodadadi/Documents/Projects/semantic-patterns/data/validation/recovery_sources/held_out_sentences_v2_review_sheet_10k_only_clean_prelabeled_recovered.csv,2026-04-08T19:55:02.746094+00:00,True,,0.12603651654866777,0.8739634834513322,Non-Irrelevant,0.6830947664272196,0.24716126555734774,0.06974396801543255,Actionable,0.6417586783291195,0.2322048051222128,0.12603651654866777,Actionable,0.6417586783291195,0.7343083440909652,0.2656916559090348,0.4686166881819304,False,Actionable,,False,Actionable,False,Actionable,False,Actionable,False,Actionable,False,Actionable,False,Actionable,False,Actionable
