sample_id,sentence_id,sentence,sentence_norm,label,is_uncertain,uncertainty_note,source_file,source_year,source_form,source_cik,sentence_index,sic,sic2,ff12_code,ff12_name,token_count,length_bin,edge_case_flag
63d2c905c1c2389d,ef6e6523c8f51d03,(ai) Section 16(b) means Section 16(b) of the Exchange Act.,ai section 16 b means section 16 b of the exchange act,Irrelevant,0,,base_labeled,,,,1,,,12,Other,10,short,0
fe42b80d5c11bbb7,3ede10cddfb18849,"Claims, Litigation, Government Investigations, and Other Proceedings May Adversely Affect Our Business and Results of Operations",claims litigation government investigations and other proceedings may adversely affect our business and results of operations,Irrelevant,0,,base_labeled,,,,2,,,12,Other,16,medium,1
eda0979bd9b7fb7e,8aab49168ea7ba4e,"interruptions in the accessibility or performance of our products and services due to capacity constraints from increased usage, or product changes we implement to maintain accessibility of our services, such as reducing the quality of video to reduce bandwidth usage;",interruptions in the accessibility or performance of our products and services due to capacity constraints from increased usage or product changes we implement to maintain accessibility of our services such as reducing the quality of video to reduce bandwidth usage,Irrelevant,0,,base_labeled,,,,3,,,12,Other,40,long,0
dc37629f8a1cdd01,805c8c80064d68f7,"we fail to introduce new features, products, or services that users find engaging or if we introduce new products or services, or make changes to existing products and services, that are not favorably received;",we fail to introduce new features products or services that users find engaging or if we introduce new products or services or make changes to existing products and services that are not favorably received,Irrelevant,0,,base_labeled,,,,4,,,12,Other,34,long,0
6f388815e7c8b8ee,1b60aef18a4a77c5,"there are decreases in user sentiment due to questions about the quality or usefulness of our products or our user data practices, concerns about the nature of content made available on our products, or concerns related to privacy, safety, security, well-being, or other factors;",there are decreases in user sentiment due to questions about the quality or usefulness of our products or our user data practices concerns about the nature of content made available on our products or concerns related to privacy safety security well being or other factors,Irrelevant,0,,base_labeled,,,,5,,,12,Other,44,long,0
56500c5eceb474fa,3154061ad081d662,"adverse impacts to our efforts to combat misuse of our products and services and user data as a result of limitations on our safety, security, and content review efforts while our workforce is working remotely, such as the necessity to rely more heavily on artificial intelligence to perform tasks that our workforce is unable to perform;",adverse impacts to our efforts to combat misuse of our products and services and user data as a result of limitations on our safety security and content review efforts while our workforce is working remotely such as the necessity to rely more heavily on artificial intelligence to perform tasks that our workforce is unable to perform,Irrelevant,0,,base_labeled,,,,6,,,12,Other,56,long,0
3f7d06483f3f2855,64a60a594b2c3105,we are unable to successfully maintain or grow usage of and engagement with applications that integrate with our products;,we are unable to successfully maintain or grow usage of and engagement with applications that integrate with our products,Irrelevant,0,,base_labeled,,,,7,,,12,Other,19,medium,0
5d788a51fcffdaee,b7217098a969207f,These orders inform our machine learning algorithms and generate a data advantage in which the technology and value of our local logistics platform is,these orders inform our machine learning algorithms and generate a data advantage in which the technology and value of our local logistics platform is,Irrelevant,0,,base_labeled,,,,8,,,12,Other,24,medium,0
a45de849325cbaa8,4b41cd2953fe8dcb,"functionalities, the autonomous Tesla ride-hailing network and robotics.",functionalities the autonomous tesla ride hailing network and robotics,Irrelevant,0,,base_labeled,,,,9,,,12,Other,8,short,0
85947797672444bf,45b2b7b3249ce142,increased volatility and uncertainty in the financial projections we use as the basis for estimates used in our financial statements.,increased volatility and uncertainty in the financial projections we use as the basis for estimates used in our financial statements,Actionable,0,,base_labeled,,,,10,,,12,Other,20,medium,0
f870b4c667aaa489,e8613f8f13dd3d92,we are unable to obtain or attract engaging third-party content;,we are unable to obtain or attract engaging third party content,Irrelevant,0,,base_labeled,,,,11,,,12,Other,10,short,0
b83681aa4acd35db,c0741250ca5d672e,"We may also experience similar future delays in launching and/or ramping production of our energy storage products and Solar Roof; new product versions or variants such as the recently updated Model S and Model X; new vehicles such as Tesla Semi, Cybertruck and the new Tesla Roadster; and future features and services based on artificial intelligence, such as new Autopilot or FSD",we may also experience similar future delays in launching and or ramping production of our energy storage products and solar roof new product versions or variants such as the recently updated model s and model x new vehicles such as tesla semi cybertruck and the new tesla roadster and future features and services based on artificial intelligence such as new autopilot or fsd,Actionable,0,,base_labeled,,,,12,,,12,Other,62,long,1
70776372449190f7,113049109019bfe0,"users adopt new technologies where our products may be displaced in favor of other products or services, or may not be featured or otherwise available;",users adopt new technologies where our products may be displaced in favor of other products or services or may not be featured or otherwise available,Irrelevant,0,,base_labeled,,,,13,,,12,Other,25,long,1
60d19b71b7fab4ca,84405e88029d5816,to develop new product features using generative AI.,to develop new product features using generative ai,Irrelevant,0,,base_labeled,,,,14,,,12,Other,8,short,1
63ffa510d273cc00,744a30c9bc4a388b,"we adopt terms, policies, or procedures related to areas such as sharing, content, user data, or advertising, or we take, or fail to take, actions to enforce our policies, that are perceived negatively by our users or the general public, including as a result of decisions or recommendations from the independent Oversight Board regarding content on our platform;",we adopt terms policies or procedures related to areas such as sharing content user data or advertising or we take or fail to take actions to enforce our policies that are perceived negatively by our users or the general public including as a result of decisions or recommendations from the independent oversight board regarding content on our platform,Irrelevant,0,,base_labeled,,,,15,,,12,Other,58,long,0
5f23bcaeaf5762df,83a114ffd1dccf56,"global operations are subject to complex and changing laws and regulations on subjects, including antitrust; privacy, data security and data localization; consumer protection; advertising, sales, billing and e-commerce; financial services and technology; product liability; intellectual property ownership and infringement; digital platforms; machine learning and artificial intelligence; internet, telecommunications and mobile communications; media, television, film and digital content; availability of third-party software applications and services; labor and employment; anticorruption; import, export and trade; foreign exchange controls and cash repatriation restrictions; anti money laundering; foreign ownership and investment; tax; and environmental, health and safety, including electronic waste, recycling, product design and climate change.",global operations are subject to complex and changing laws and regulations on subjects including antitrust privacy data security and data localization consumer protection advertising sales billing and e commerce financial services and technology product liability intellectual property ownership and infringement digital platforms machine learning and artificial intelligence internet telecommunications and mobile communications media television film and digital content availability of third party software applications and services labor and employment anticorruption import export and trade foreign exchange controls and cash repatriation restrictions anti money laundering foreign ownership and investment tax and environmental health and safety including electronic waste recycling product design and climate change,Speculative,0,,base_labeled,,,,16,,,12,Other,101,long,0
58f6b2a43e2477fe,1b8a7a9cc77706b1,"there is decreased engagement with our products as a result of taxes imposed on the use of social media or other mobile applications in certain countries, internet shutdowns, or other actions by governments that affect the accessibility of our products in their countries (for example, beginning in the first quarter of 2022, our user growth and engagement were adversely affected by the war in Ukraine and service restrictions imposed by the Russian government);",there is decreased engagement with our products as a result of taxes imposed on the use of social media or other mobile applications in certain countries internet shutdowns or other actions by governments that affect the accessibility of our products in their countries for example beginning in the first quarter of 2022 our user growth and engagement were adversely affected by the war in ukraine and service restrictions imposed by the russian government,Irrelevant,0,,base_labeled,,,,17,,,12,Other,73,long,0
68e28e2be859e169,a9bd7eb532d36b18,"technical or other problems prevent us from delivering our products in a rapid and reliable manner or otherwise affect the user experience, such as security breaches or failure to prevent or limit spam or similar content, or users feel their experience is diminished as a result of our efforts to protect the security and integrity of our platform;",technical or other problems prevent us from delivering our products in a rapid and reliable manner or otherwise affect the user experience such as security breaches or failure to prevent or limit spam or similar content or users feel their experience is diminished as a result of our efforts to protect the security and integrity of our platform,Actionable,0,,base_labeled,,,,18,,,12,Other,58,long,0
d89670518d6e2e2a,4db70e25934a6599,"we fail to provide adequate customer service to users, marketers, developers, or other partners;",we fail to provide adequate customer service to users marketers developers or other partners,Irrelevant,0,,base_labeled,,,,19,,,12,Other,14,medium,0
534b9ddaafe97139,37dc77e3a10926b3,"v. Meta Platforms, Inc. et al., which was subsequently transferred to the U.S. District Court for the Northern District of California alleging that we used various copyrighted books and materials to train our artificial intelligence models, and seeking unspecified damages and injunctive relief.",v meta platforms inc et al which was subsequently transferred to the u s district court for the northern district of california alleging that we used various copyrighted books and materials to train our artificial intelligence models and seeking unspecified damages and injunctive relief,Actionable,0,,base_labeled,,,,20,,,12,Other,43,long,0
077fd9fdced058d6,a4d7d17fa1eba9a3,"Across all of these efforts, we are making significant investments in AI and machine learning, including to recommend relevant unconnected content across our products through our AI-powered discovery engine, to enhance our advertising tools and improve our ad delivery, targeting, and measurement capabilities, and",across all of these efforts we are making significant investments in ai and machine learning including to recommend relevant unconnected content across our products through our ai powered discovery engine to enhance our advertising tools and improve our ad delivery targeting and measurement capabilities and,Actionable,0,,base_labeled,,,,21,,,12,Other,44,long,0
055b1080166cec00,b37a1a8cd467db80,"delays in product development or releases, or reductions in manufacturing production and sales of consumer hardware, as a result of inventory shortages, supply chain or labor shortages, or diversion of our efforts and resources to projects related to COVID-19;",delays in product development or releases or reductions in manufacturing production and sales of consumer hardware as a result of inventory shortages supply chain or labor shortages or diversion of our efforts and resources to projects related to covid 19,Irrelevant,0,,base_labeled,,,,22,,,12,Other,39,long,0
864bb74cbf38591a,1e8f555856dbe503,"initiatives designed to attract and retain users and engagement, including the use of new technologies such as artificial intelligence, are unsuccessful or discontinued, whether as a result of actions by us, our competitors, or other third parties, or otherwise;",initiatives designed to attract and retain users and engagement including the use of new technologies such as artificial intelligence are unsuccessful or discontinued whether as a result of actions by us our competitors or other third parties or otherwise,Irrelevant,0,,base_labeled,,,,23,,,12,Other,39,long,0
d3369620f8afff98,7a928b6e94565267,"there is decreased engagement with our products, or failure to accept our terms of service, as part of privacy-focused changes that we have implemented or may implement in the future, whether voluntarily, in connection with the General Data Protection Regulation (GDPR), the European Union's ePrivacy Directive, the California Privacy Rights Act (CPRA), or other laws, regulations, or regulatory actions, or otherwise;",there is decreased engagement with our products or failure to accept our terms of service as part of privacy focused changes that we have implemented or may implement in the future whether voluntarily in connection with the general data protection regulation gdpr the european union s eprivacy directive the california privacy rights act cpra or other laws regulations or regulatory actions or otherwise,Irrelevant,0,,base_labeled,,,,24,,,12,Other,61,long,1
3c93423cc7a3fa60,d87620b9e1faa344,Advangelists ATOS platform blends artificial intelligence (or AI) and machine,advangelists atos platform blends artificial intelligence or ai and machine,Irrelevant,0,,data/processed/sec/2021/20210331_10-K_edgar_data_1084267_0001683168-21-001154_ai_sentences.txt,2021,10-K,1084267,1,7310.0,73.0,12,Other,10,short,0
c0c3d8a3edb0835e,91e0f58329b33c7c,learning (ML) based optimization technology for automatic ad serving that manages and runs digital advertising inventory and,learning ml based optimization technology for automatic ad serving that manages and runs digital advertising inventory and,Speculative,0,,data/processed/sec/2021/20210331_10-K_edgar_data_1084267_0001683168-21-001154_ai_sentences.txt,2021,10-K,1084267,2,7310.0,73.0,12,Other,17,medium,0
