sentence_id,split,split_version,assignment_reason,seed,source_manifest_id,source_cik,label,batch_row_id,sentence_text_id,source_year
934715725061e415,train,v1,grouped_source_cik_stratified_80_20_v1,20260315,expansion_2024_batch_04,1065280,Irrelevant,90d54f1ebded9d97,7cb5c14a5309e193,2024
8a565a36583fdb5d,validation,v1,grouped_source_cik_stratified_80_20_v1,20260315,pilot_2024_10k_v1,1177394,Speculative,ac6c2a94d410ab5d,a2c1cff798167124,2024
378e04590eef68e1,train,v1,grouped_source_cik_stratified_80_20_v1,20260315,expansion_2024_batch_02,1035443,Irrelevant,4a93496cd66500fd,87819842ff46b314,2024
87a96c7c8a73fafd,train,v1,grouped_source_cik_stratified_80_20_v1,20260315,expansion_2024_batch_01,100790,Irrelevant,65103c9e448f922f,31d9b86a67bb5fd6,2024
13597490618527d0,validation,v1,grouped_source_cik_stratified_80_20_v1,20260315,expansion_2024_batch_02,1035267,Irrelevant,662d33d952ad88c2,25954bb34d3be0ba,2024
229455426599564b,validation,v1,grouped_source_cik_stratified_80_20_v1,20260315,expansion_2024_batch_02,1035267,Irrelevant,e9fa370611000863,82e424114f63bd00,2024
f76505636f7d956a,train,v1,grouped_source_cik_stratified_80_20_v1,20260315,expansion_2024_batch_02,1018724,Irrelevant,2e526a566096d712,7d4d8e014f279eae,2024
3e52e5f9abccef20,validation,v1,grouped_source_cik_stratified_80_20_v1,20260315,expansion_2024_batch_02,101829,Speculative,c403a2d44fe0799c,de4698d162deb722,2024
018f0bc04cf8e228,train,v1,grouped_source_cik_stratified_80_20_v1,20260315,expansion_2024_batch_03,1043604,Irrelevant,c1ef9d8fbe3d9ebe,c2983d9a5a64f307,2024
9c970706026822e9,train,v1,grouped_source_cik_stratified_80_20_v1,20260315,expansion_2024_batch_03,1043604,Irrelevant,a0d818d271626cc0,2b23070c64298b85,2024
b2aa133e99708d1f,train,v1,grouped_source_cik_stratified_80_20_v1,20260315,expansion_2024_batch_03,10456,Speculative,0f45ef60ef27e26a,73f25b835f983207,2024
443e08880e8e2f62,train,v1,grouped_source_cik_stratified_80_20_v1,20260315,expansion_2024_batch_04,1058090,Irrelevant,057bcae2029a93ad,1f25c0c05eb0edbc,2024
de0db4e35d53c11e,train,v1,grouped_source_cik_stratified_80_20_v1,20260315,pilot_2024_10k_v1,100122,Irrelevant,d0f39f7556a3374a,fa849ce60b68f07c,2024
1865d7b077c10275,train,v1,grouped_source_cik_stratified_80_20_v1,20260315,expansion_2024_batch_02,1025996,Irrelevant,6bb974605309852e,fe1bd8c1035f614d,2024
d84aa0479094bd28,validation,v1,grouped_source_cik_stratified_80_20_v1,20260315,expansion_2024_batch_03,1037646,Irrelevant,c833783c2d76b866,6dbff0319e746886,2024
64e328cfc66a53da,train,v1,grouped_source_cik_stratified_80_20_v1,20260315,expansion_2024_batch_03,1040765,Irrelevant,8090b84ef800c8c3,54bfd27f31f9e206,2024
e0a4a15627a228b0,train,v1,grouped_source_cik_stratified_80_20_v1,20260315,expansion_2024_batch_02,1031296,Irrelevant,bb25ab87f367ec5a,17d3c0366fab7870,2024
b290e20b38835786,train,v1,grouped_source_cik_stratified_80_20_v1,20260315,expansion_2024_batch_02,1013857,Speculative,7f7c4ca2cd80f85a,7d28c90834f5a057,2024
1904b80dd2fe1a57,train,v1,grouped_source_cik_stratified_80_20_v1,20260315,pilot_2024_10k_v1,1026214,Irrelevant,1edf449cbc0420a1,9bb88d04367f2ec4,2024
816a6659cda5c994,train,v1,grouped_source_cik_stratified_80_20_v1,20260315,expansion_2024_batch_01,1026214,Irrelevant,76e8fb7950b162a1,802edcced86eec64,2024
b855ae56bcdb0059,train,v1,grouped_source_cik_stratified_80_20_v1,20260315,expansion_2024_batch_04,1054905,Irrelevant,b2d5799fe20cdc5a,c16cf453ae238aab,2024
2dd7541f713813b1,train,v1,grouped_source_cik_stratified_80_20_v1,20260315,expansion_2024_batch_04,1054905,Irrelevant,d02cae415472feb7,cd515a4a2c7b5d69,2024
6e4b0f9f9c1898d9,train,v1,grouped_source_cik_stratified_80_20_v1,20260315,expansion_2024_batch_04,1058290,Irrelevant,ab5340079fe636c4,9988fdaae6c86d7e,2024
4d43c28233006e17,train,v1,grouped_source_cik_stratified_80_20_v1,20260315,expansion_2024_batch_04,1058290,Irrelevant,1e99089eb82a4865,2f17a29c9566ecff,2024
