batch_id,batch_row_id,sampling_seed,selection_reason,sentence_id,sentence_text_id,sentence,sentence_norm,label,is_uncertain,uncertainty_note,source_file,source_year,source_quarter,source_form,source_section,source_cik,sentence_index,manifest_id,manifest_row_id,source_window_id,token_count,fragment_score,integrity_flags,sic,ff12_code,ff12_name,industry_metadata_source,length_bin,edge_case_flag,filing_selection_reason,assistive_label,assistive_confidence,assistive_rationale,assistive_model,assistive_generated_at,assistive_prompt_hash
labeling_batch_v2,90d54f1ebded9d97,20260311,quarter_diversity_fill,934715725061e415,7cb5c14a5309e193,"In addition, the use or adoption of new and emerging technologies may increase our exposure to intellectual property claims, and the availability of copyright and other intellectual property protection for AI-generated material is uncertain.",in addition the use or adoption of new and emerging technologies may increase our exposure to intellectual property claims and the availability of copyright and other intellectual property protection for ai generated material is uncertain,Irrelevant,,,2024/QTR1/20240126_10-K_edgar_data_1065280_0001065280-24-000030.txt,2024,1,10-K,item_1_business,1065280,2,expansion_2024_batch_04,19741dd7754c0dad,active_2021_2024,34,0.0,[],,12,Other,unknown,long,TRUE,quarter_round_robin,Irrelevant,high,"Generic risk disclosure about technology and IP uncertainty, not a firm-specific current capability claim.",gpt-5-mini,2026-03-14T02:00:31.939342+00:00,4befc6df31ddaecf628f8bcb4036e89052f6afdb93108c90f317c0ad2a1163a0
labeling_batch_v2,4a93496cd66500fd,20260311,quarter_diversity_fill,378e04590eef68e1,87819842ff46b314,"In light of the recent proliferation of generative artificial intelligence tools and large language models, there is also a risk that the dissemination of such opinions, characterizations or disinformation may negatively impact the conclusions that these tools and models draw about our business and prospects.",in light of the recent proliferation of generative artificial intelligence tools and large language models there is also a risk that the dissemination of such opinions characterizations or disinformation may negatively impact the conclusions that these tools and models draw about our business and prospects,Irrelevant,,,2024/QTR1/20240129_10-K_edgar_data_1035443_0001035443-24-000072.txt,2024,1,10-K,other,1035443,3,expansion_2024_batch_02,16403748b5128cc2,active_2021_2024,45,0.0,[],,12,Other,unknown,long,TRUE,quarter_round_robin,Irrelevant,high,"Generic risk disclosure about AI impacts, not a firm-specific factual capability or offering.",gpt-5-mini,2026-03-14T02:00:33.679553+00:00,565f2d707d509fff457fb9792b39d7ab771ec7f93fa1c35284788e329027c6d0
labeling_batch_v2,e9fa370611000863,20260311,quarter_diversity_fill,229455426599564b,82e424114f63bd00,"In addition, with the prolific use of artificial intelligence technologies, there is an increased risk of unauthorized or accidental disclosure.",in addition with the prolific use of artificial intelligence technologies there is an increased risk of unauthorized or accidental disclosure,Irrelevant,,,2024/QTR1/20240131_10-K_edgar_data_1035267_0001035267-24-000021.txt,2024,1,10-K,other,1035267,3,expansion_2024_batch_02,ac6970231a1b713c,active_2021_2024,20,0.0,[],,12,Other,unknown,medium,TRUE,quarter_round_robin,Irrelevant,high,"Generic risk disclosure about AI exposure, no firm-specific capability or offering disclosed.",gpt-5-mini,2026-03-14T02:00:37.214034+00:00,be570b99b72a69e17da711bb93fc68e6e08a9b91d0666d77ee520d9b454448d9
labeling_batch_v2,c1ef9d8fbe3d9ebe,20260311,quarter_diversity_fill,018f0bc04cf8e228,c2983d9a5a64f307,Issues in the development and use of artificial intelligence may result in reputational harm or liability.,issues in the development and use of artificial intelligence may result in reputational harm or liability,Irrelevant,,,2024/QTR1/20240207_10-K_edgar_data_1043604_0001043604-24-000014.txt,2024,1,10-K,other,1043604,30,expansion_2024_batch_03,e02baa12a5033a79,active_2021_2024,16,0.0,[],,12,Other,unknown,medium,TRUE,quarter_round_robin,Irrelevant,high,"Generic risk disclosure about AI harms, no firm-specific present/past capability or investment claimed.",gpt-5-mini,2026-03-14T02:00:39.028194+00:00,22a266c664d13707b730ee156de35f905bd155b646fdbc8ade4c05d51dc1d2e0
labeling_batch_v2,057bcae2029a93ad,20260311,quarter_diversity_fill,443e08880e8e2f62,1f25c0c05eb0edbc,The rapid evolution and increased adoption of artificial intelligence technologies may intensify our cybersecurity risks.,the rapid evolution and increased adoption of artificial intelligence technologies may intensify our cybersecurity risks,Irrelevant,,,2024/QTR1/20240208_10-K_edgar_data_1058090_0001562762-24-000023.txt,2024,1,10-K,item_1_business,1058090,1,expansion_2024_batch_04,20ec983a2c89f00a,active_2021_2024,15,0.0,[],,12,Other,unknown,medium,TRUE,quarter_round_robin,Irrelevant,high,"Generic risk disclosure about AI-related cybersecurity exposure, not a firm-specific capability claim.",gpt-5-mini,2026-03-14T02:00:42.077695+00:00,c03a172e03728966e05ee239982866fbd11be03d903ce0be0a7083eebeb0eafb
labeling_batch_v2,c833783c2d76b866,20260311,quarter_diversity_fill,d84aa0479094bd28,6dbff0319e746886,"Further, if we fail to adopt these new technologies, we may face price pressure from competitors using lower-cost AI systems.",further if we fail to adopt these new technologies we may face price pressure from competitors using lower cost ai systems,Irrelevant,,,2024/QTR1/20240209_10-K_edgar_data_1037646_0001037646-24-000007.txt,2024,1,10-K,other,1037646,4,expansion_2024_batch_03,9a8a11e606d1f24e,active_2021_2024,20,0.0,[],,12,Other,unknown,medium,TRUE,quarter_round_robin,Irrelevant,high,"Primary function is risk disclosure about competitor use, not stating firm's current AI capability.",gpt-5-mini,2026-03-14T02:00:43.648651+00:00,d223292da799c652b928d9559dd5fda2f8510a5ae66427eda0309777ae74addf
labeling_batch_v2,76e8fb7950b162a1,20260311,quarter_ff12_round_robin,816a6659cda5c994,802edcced86eec64,"We may not be able to sufficiently mitigate or detect any of the foregoing limitations or risks given the lack of experience with using AI/ML methods in our business, the pace of technological change, and rapid adoption of AI/ML by our business partners and competitors.",we may not be able to sufficiently mitigate or detect any of the foregoing limitations or risks given the lack of experience with using ai ml methods in our business the pace of technological change and rapid adoption of ai ml by our business partners and competitors,Irrelevant,,,2024/QTR1/20240214_10-K_edgar_data_1026214_0001026214-24-000025.txt,2024,1,10-K,other,1026214,12,expansion_2024_batch_01,dd09f96c6ebb8080,active_2021_2024,45,0.0,[],6111.0,11,Money,controls_by_firm_year,long,TRUE,quarter_round_robin,Irrelevant,high,"Primarily discloses risk and lack of experience—generic risk language, not a firm capability claim.",gpt-5-mini,2026-03-14T02:00:45.140544+00:00,442943388444c57085fafcbd596303c5857578c65d5901a7e6c89761f80670f9
labeling_batch_v2,b2d5799fe20cdc5a,20260311,quarter_diversity_fill,b855ae56bcdb0059,c16cf453ae238aab,The rapid evolution and increased adoption of artificial intelligence technologies may intensify our cyber security risks.,the rapid evolution and increased adoption of artificial intelligence technologies may intensify our cyber security risks,Irrelevant,,,2024/QTR1/20240214_10-K_edgar_data_1054905_0000950170-24-014960.txt,2024,1,10-K,other,1054905,1,expansion_2024_batch_04,c4e42cb84e766ab7,active_2021_2024,16,0.0,[],,12,Other,unknown,medium,TRUE,quarter_round_robin,Irrelevant,high,"Generic risk disclosure about AI-related cybersecurity exposure, no firm-specific capability or claim.",gpt-5-mini,2026-03-14T02:00:46.431021+00:00,c603ead80eda14645dc276306d0568f15b95b8bf5219b35d28ddcfdeeeb593c5
labeling_batch_v2,ab5340079fe636c4,20260311,quarter_diversity_fill,6e4b0f9f9c1898d9,9988fdaae6c86d7e,"Our use of AI technologies may not be successful and may present business, financial, legal, and reputational risks.",our use of ai technologies may not be successful and may present business financial legal and reputational risks,Irrelevant,,,2024/QTR1/20240214_10-K_edgar_data_1058290_0001058290-24-000017.txt,2024,1,10-K,other,1058290,14,expansion_2024_batch_04,398bb599b55b43c3,active_2021_2024,18,0.0,[],,12,Other,unknown,medium,TRUE,quarter_round_robin,Irrelevant,high,"Generic risk disclosure about AI use, no firm-specific present capability or offering disclosed.",gpt-5-mini,2026-03-14T02:00:47.870363+00:00,c826b13b02e7fe1b48090eb855a907c99cb849deb9636bfcbda0d1ee37de5df3
labeling_batch_v2,b2bfee5fc882f15c,20260311,quarter_diversity_fill,f4349648ca8256c9,07ad4a97649a79e4,Future regulations could also affect products and services the Company offers that incorporate or are based on artificial intelligence technologies.,future regulations could also affect products and services the company offers that incorporate or are based on artificial intelligence technologies,Irrelevant,,,2024/QTR1/20240214_10-K_edgar_data_1059556_0001059556-24-000017.txt,2024,1,10-K,other,1059556,8,expansion_2024_batch_04,8789f669d53db57b,active_2021_2024,20,0.0,[],,12,Other,unknown,medium,TRUE,quarter_round_robin,Irrelevant,high,"Generic risk disclosure about potential future regulation, not a present factual AI capability claim.",gpt-5-mini,2026-03-14T02:00:49.205315+00:00,ccb8a6ca460088c21a1aaac042bb9b2e72da1b1eff15d7df3e4e51266f2d5384
