irr_item_id,sample_id,batch_row_id,sentence_id,sentence,source_cik,source_year,source_form,source_file,sentence_index,ff12_code,ff12_name,rater1_label,rater2_label,disagreement_pair,transition,final_label,adjudication_note
b7ab56f4c58361b6,018d846d170a631b,018d846d170a631b,26c16e94dab6c75e,"Our high-performance enterprise class SSD include high-performance flash-based SSD and software solutions that are optimized for performance applications providing a range of capacity and performance levels primarily for use in enterprise servers and supporting high-volume online transactions, AI-related workloads, data analysis and other enterprise applications.",106040,2024,10-K,2024/QTR3/20240820_10-K_edgar_data_106040_0000106040-24-000031.txt,2,12,Other,Actionable,Irrelevant,A_vs_I,A->I,Irrelevant,
45bd86334b5a4e72,40bde3bec3a3f3b9,40bde3bec3a3f3b9,66956e3fc78f9b03,"We are in the early stages of implementing our plan for the construction and operation of clean-energy-powered data centers to lease to large enterprise information technology (IT) customers that are creating or addressing the growing demand for AI, Cloud and High-Performance Computing (HPC) digital services.",1174891,2024,10-K,2024/QTR2/20240409_10-K_edgar_data_1174891_0001493152-24-014061.txt,1,12,Other,Actionable,Irrelevant,A_vs_I,A->I,Irrelevant,
060535d5cb5631a3,4144f4d0f5d5a037,4144f4d0f5d5a037,c4e09d07456063ba,"We continue to build and integrate AI into our offerings, and this innovation presents risks and challenges that could affect its adoption, and therefore our business.",1374339,2024,10-K,2024/QTR2/20240401_10-K_edgar_data_1374339_0001558370-24-004532.txt,4,12,Other,Actionable,Speculative,A_vs_S,A->S,Actionable,
e2ccdb6ff8c9cbbc,4a98a4e32ca195a3,4a98a4e32ca195a3,5a52a717d1e3d7b4,"The Hennessy Stance ESG ETF seeks long term growth of capital by combining environmental, social, and governance ESG and machine learning/artificial intelligence ML/AI in an ETF structure.",1145255,2024,10-K,2024/QTR4/20241211_10-K_edgar_data_1145255_0001437749-24-037244.txt,1,12,Other,Actionable,Speculative,A_vs_S,A->S,Actionable,
8b17e3468ddc4cfe,77342759203bcd77,77342759203bcd77,6489b2d76fe80847,"This Infrastructure-as-a-Service (IaaS) enables use cases including backups, multi-cloud, application storage, ransomware protection, and storage for AI/ML workflows.",1462056,2024,10-K,2024/QTR2/20240401_10-K_edgar_data_1462056_0001462056-24-000033.txt,1,12,Other,Actionable,Speculative,A_vs_S,A->S,Actionable,
cec8ccd31f1c7e24,9ff3a54dcf4d9d8a,9ff3a54dcf4d9d8a,bd2238fbee89c539,"Additionally, we deliver a range of connectivity solutions for the Internet of Things, smartphones, tablet computers, virtual reality and artificial intelligence/machine learning applications to help our customers meet their current challenges and future innovations.",1385157,2024,10-K,2024/QTR4/20241112_10-K_edgar_data_1385157_0001558370-24-015227.txt,1,12,Other,Actionable,Irrelevant,A_vs_I,A->I,Actionable,
00e4a2604a0468ec,b5c8399bb55eccda,b5c8399bb55eccda,6f14a124157d5bf1,"We have entered into a Loan Agreement with Beyebe AI pursuant to which we may borrow up to 1,000,000 to fund our operations.",2016167,2024,10-K,2024/QTR4/20241227_10-K_edgar_data_2016167_0001753926-24-002159.txt,10,12,Other,Actionable,Irrelevant,A_vs_I,A->I,Irrelevant,
cc12d57c8ccc862b,daaa2b2c419e2496,daaa2b2c419e2496,97d63e6c8eea2dc9,"We are making investments in AI initiatives, including generative AI, to, among other things, recommend relevant unconnected content across our products, enhance our advertising tools, develop new products, and develop new features for existing products.",1326205,2024,10-K,2024/QTR2/20240624_10-K_edgar_data_1326205_0001185185-24-000650.txt,5,12,Other,Actionable,Speculative,A_vs_S,A->S,Actionable,
5d0bf3a1db9eadc5,e2df4d3a834cff5f,e2df4d3a834cff5f,5b47bcbd1929603c,This cloud-based AI-driven security operations platform for the modern SOC harnesses the power of AI to radically improve security outcomes and transform security operations.,1327567,2024,10-K,2024/QTR3/20240906_10-K_edgar_data_1327567_0001327567-24-000029.txt,31,12,Other,Actionable,Irrelevant,A_vs_I,A->I,Actionable,
1319a1fdf61b9e7f,e8670325d27532fe,e8670325d27532fe,ecefa070a45e4e23,"We have invested and expect to continue to invest heavily in research and development for new and innovative products, including AI solutions.",1616533,2024,10-K,2024/QTR4/20241024_10-K_edgar_data_1616533_0001628280-24-043646.txt,24,12,Other,Actionable,Speculative,A_vs_S,A->S,Actionable,
b162d7cf2e386f7e,f233cfa1e8291d6d,f233cfa1e8291d6d,2681119ba1f2fb80,"In addition, Dow Jones produces customized Due Diligence Reports to assist its customers with regulatory compliance, including IntegrityCheck, a generative AI-enabled automated report.",1564708,2024,10-K,2024/QTR3/20240813_10-K_edgar_data_1564708_0001564708-24-000408.txt,2,12,Other,Actionable,Irrelevant,A_vs_I,A->I,Irrelevant,
aa93d9529c08a614,fd676d1f8031506f,fd676d1f8031506f,dbf16dd1158358fd,"From February 2021 to April 2022, Benjamin has served as Senior Capital Market Advisor for Iveda Solutions, Inc. (NASDAQ: IVDA), an AI and IoT technology company to assist with financing and uplisting to Nasdaq.",1066764,2024,10-K,2024/QTR2/20240401_10-K_edgar_data_1066764_0001493152-24-012444.txt,1,12,Other,Actionable,Irrelevant,A_vs_I,A->I,Irrelevant,
