irr_item_id,sample_id,batch_row_id,sentence_id,sentence,source_cik,source_year,source_form,source_file,sentence_index,ff12_code,ff12_name,label,rater1_label,rater2_label,rater2_note
396f8e326cdb60aa,76e8fb7950b162a1,76e8fb7950b162a1,816a6659cda5c994,"We may not be able to sufficiently mitigate or detect any of the foregoing limitations or risks given the lack of experience with using AI/ML methods in our business, the pace of technological change, and rapid adoption of AI/ML by our business partners and competitors.",1026214,2024,10-K,2024/QTR1/20240214_10-K_edgar_data_1026214_0001026214-24-000025.txt,12,11,Money,Irrelevant,Irrelevant,,
2333b8bbae8df8f4,0250c1e22accd397,0250c1e22accd397,0aa31ee48081a32b,"He has strong expertise in cyber security, AI, modeling and simulation and has chaired sessions at symposiums on these subjects.",1051343,2024,10-K,2024/QTR2/20240408_10-K_edgar_data_1051343_0001140361-24-018439.txt,1,12,Other,Actionable,Actionable,,
11deafd3377a8d03,04d98e671b190930,04d98e671b190930,0fddc829f60dd6b8,"Additionally, Mr. Bordes currently serves as a director for (i) Logiq, Inc. (OTC: LGIQ), a U.S.-based advertising technology company and significant stockholder of the Company, (ii) GoLogiq, Inc. (OTC: GOLQ), a U.S.-based global provider of fintech and consumer data analytics, (iii) Beasley Broadcast Group (Nasdaq: BBGI), a public media and digital broadcast company providing music, news, sports information and entertainment to over 19 million listeners from 63 stations across the U.S., (iv) Kubient (Nasdaq: KBNT), a cloud advertising platform, where he previously served as its CEO and led the company's IPO and listing on NASDAQ, and (v) Fraud.net, a leading AI powered collective intelligence fraud prevention, risk mitigation cloud infrastructure platform for the real-time economy.",1854583,2024,10-K,2024/QTR3/20240710_10-K_edgar_data_1854583_0001213900-24-060521.txt,6,12,Other,Actionable,Actionable,,
9879400a69df3c21,0c6b5ba6e134138a,0c6b5ba6e134138a,0c2ae121eed3686e,"We specifically focus on members with anxiety, depression and/or substance use disorder(s) by using AI and predictive modeling, applying claims-based analytics to identify health plan members with medical costs that may be impacted through behavioral health treatment with the Ontrak program.",1136174,2024,10-K,2024/QTR2/20240416_10-K_edgar_data_1136174_0001628280-24-016456.txt,7,12,Other,Actionable,Actionable,,
f9afac5d57d4101a,1115ec03c32d0373,1115ec03c32d0373,b3fee80cd24c02c5,The portfolio managers seek exposure to companies that score well on ESG metrics and that the portfolio managers believe will outperform based on ML/AI models.,1145255,2024,10-K,2024/QTR4/20241211_10-K_edgar_data_1145255_0001437749-24-037244.txt,2,12,Other,Actionable,Actionable,,
8dd8777ca30d4005,20b030e55092cd77,20b030e55092cd77,9ac52f49ed06bae7,"Finally, Visa Risk Manager with scheme agnostic Visa Advanced Authorization is a comprehensive AI-powered fraud risk management solution.",1403161,2024,10-K,2024/QTR4/20241113_10-K_edgar_data_1403161_0001403161-24-000058.txt,3,12,Other,Actionable,Actionable,,
da580c83c181c045,21aa1f3d514ee8c1,21aa1f3d514ee8c1,7f52d7c1fc8f7d9b,"The Company's innovative technology uses machine learning to describe how multi-component plant-based medicines have been effective as therapies for thousands of years and, more importantly, to predict new and better possible drug candidates using generative AI.",1165320,2024,10-K,2024/QTR3/20240830_10-K_edgar_data_1165320_0001437749-24-028160.txt,3,12,Other,Actionable,Actionable,,
e77bf411c92f03d1,28af718f2c357dcf,28af718f2c357dcf,34aca2a32b491539,"We use artificial intelligence in our products and services which may result in operational challenges, legal liability, reputational concerns and competitive risks.",1351636,2024,10-K,2024/QTR2/20240401_10-K_edgar_data_1351636_0000950170-24-039479.txt,14,12,Other,Actionable,Actionable,,
1c9251ea2f1e3274,3c7d2b750c420ba9,3c7d2b750c420ba9,8699dbc438962a53,"Web Security Engine, an AI-driven tool that makes decisions aided by advanced heuristics and 24 7 analysts; covers 82 threat categories, including web threats such as phishing, fraud.",1068689,2024,10-K,2024/QTR2/20240417_10-K_edgar_data_1068689_0001493152-24-014964.txt,1,12,Other,Actionable,Actionable,,
6a72fc07451c5bd8,3ef1fa78bd85a505,3ef1fa78bd85a505,691ff1fda84f8181,We have been and expect to continue to use artificial intelligence AI in our solutions that support our business.,1005757,2024,10-K,2024/QTR1/20240216_10-K_edgar_data_1005757_0000950170-24-016286.txt,7,12,Other,Actionable,Actionable,,
