batch_id,batch_row_id,sampling_seed,selection_reason,sentence_id,sentence_text_id,sentence,sentence_norm,label,is_uncertain,uncertainty_note,source_file,source_year,source_quarter,source_form,source_section,source_cik,sentence_index,manifest_id,manifest_row_id,source_window_id,token_count,fragment_score,integrity_flags,sic,ff12_code,ff12_name,industry_metadata_source,length_bin,edge_case_flag,filing_selection_reason,assistive_label,assistive_confidence,assistive_rationale,assistive_model,assistive_generated_at,assistive_prompt_hash
labeling_batch_v3,65103c9e448f922f,20260312,quarter_diversity_fill,87a96c7c8a73fafd,31d9b86a67bb5fd6,"Additionally, UCC's and/or Dow's use of artificial intelligence software may create additional risks related to the unintentional disclosure of proprietary, confidential, personal or otherwise sensitive information.",additionally ucc s and or dow s use of artificial intelligence software may create additional risks related to the unintentional disclosure of proprietary confidential personal or otherwise sensitive information,Irrelevant,,,2024/QTR1/20240131_10-K_edgar_data_100790_0000029915-24-000003.txt,2024,1,10-K,other,100790,1,expansion_2024_batch_01,f0486686e226bcb6,active_2021_2024,26,0.0,[],,12,Other,unknown,long,TRUE,quarter_round_robin,Irrelevant,high,"Primary function is risk disclosure about AI use, not asserting a present capability or offering.",gpt-5-mini,2026-03-14T17:21:34.654825+00:00,dd2712ea0f3291685b32d27ca65b22dee2ca8ddb45ac5ad45f9a710933083a5f
labeling_batch_v3,662d33d952ad88c2,20260312,quarter_diversity_fill,13597490618527d0,25954bb34d3be0ba,"Incorporating artificial intelligence into our products, services, and operations may result in legal and regulatory risks or reputational harm or have other adverse consequences to our business, financial condition, or results of operations.",incorporating artificial intelligence into our products services and operations may result in legal and regulatory risks or reputational harm or have other adverse consequences to our business financial condition or results of operations,Irrelevant,,,2024/QTR1/20240131_10-K_edgar_data_1035267_0001035267-24-000021.txt,2024,1,10-K,other,1035267,1,expansion_2024_batch_02,ac6970231a1b713c,active_2021_2024,33,0.0,[],,12,Other,unknown,long,TRUE,quarter_round_robin,Irrelevant,high,"Primarily discloses legal/regulatory and reputational risk from AI, not a factual claim of capability.",gpt-5-mini,2026-03-14T17:21:36.447623+00:00,08675d4e07c204d3f97515c00fef31bb7396c396d4c431f3156c9a0e72be209e
labeling_batch_v3,2e526a566096d712,20260312,quarter_diversity_fill,f76505636f7d956a,7d4d8e014f279eae,"Legal and Regulatory Risks Government Regulation Is Evolving and Unfavorable Changes Could Harm Our Business We are subject to general business regulations and laws, as well as regulations and laws specifically governing the internet, physical, e-commerce, and omnichannel retail, digital content, web services, electronic devices, advertising, artificial intelligence technologies and services, and other products and services that we offer or sell.",legal and regulatory risks government regulation is evolving and unfavorable changes could harm our business we are subject to general business regulations and laws as well as regulations and laws specifically governing the internet physical e commerce and omnichannel retail digital content web services electronic devices advertising artificial intelligence technologies and services and other products and services that we offer or sell,Irrelevant,,,2024/QTR1/20240202_10-K_edgar_data_1018724_0001018724-24-000008.txt,2024,1,10-K,other,1018724,6,expansion_2024_batch_02,bd1f13b27e22df38,active_2021_2024,61,0.0,[],,12,Other,unknown,long,TRUE,quarter_round_robin,Irrelevant,high,Generic disclosure of regulatory risk mentioning AI; no firm-specific capability or current use claimed.,gpt-5-mini,2026-03-14T17:21:37.707464+00:00,5403e9ae562baf6b09faab02d7002fe3ba070a9c657b8e737b007a20e0c93f9b
labeling_batch_v3,c403a2d44fe0799c,20260312,quarter_diversity_fill,3e52e5f9abccef20,de4698d162deb722,"For example we are investing in artificial intelligence, among other advanced technologies, and we may be unable to successfully integrate the technology into our products and services or keep pace with this rapidly changing technology.",for example we are investing in artificial intelligence among other advanced technologies and we may be unable to successfully integrate the technology into our products and services or keep pace with this rapidly changing technology,Speculative,,,2024/QTR1/20240205_10-K_edgar_data_101829_0000101829-24-000008.txt,2024,1,10-K,other,101829,1,expansion_2024_batch_02,0b49d222c6b9a0d6,active_2021_2024,35,0.0,[],,12,Other,unknown,long,TRUE,quarter_round_robin,Speculative,high,"Firm states intention to invest and uncertainty about integration—forward-looking, not confirmed present capability.",gpt-5-mini,2026-03-14T17:21:39.595607+00:00,1ddd6c435c4f084c8392f4cd854e870ec92bca88bea4a7e862ad843c48445f44
labeling_batch_v3,a0d818d271626cc0,20260312,quarter_diversity_fill,9c970706026822e9,2b23070c64298b85,"Deficiencies or other failures of AI systems could subject us to competitive harm, regulatory action, penalties, legal liability, or brand or reputational harm.",deficiencies or other failures of ai systems could subject us to competitive harm regulatory action penalties legal liability or brand or reputational harm,Irrelevant,,,2024/QTR1/20240207_10-K_edgar_data_1043604_0001043604-24-000014.txt,2024,1,10-K,other,1043604,34,expansion_2024_batch_03,e02baa12a5033a79,active_2021_2024,23,0.0,[],,12,Other,unknown,medium,TRUE,quarter_round_robin,Irrelevant,high,"Generic risk disclosure about AI consequences, not claiming any firm capability or specific AI offering.",gpt-5-mini,2026-03-14T17:21:40.925784+00:00,35e6a054a8948eb11985caa95fe08095b541b6db98ec3e044c361edc2facbccb
labeling_batch_v3,0f45ef60ef27e26a,20260312,quarter_diversity_fill,b2aa133e99708d1f,73f25b835f983207,"Further, we expect that the breadth and complexity of our information and technology systems and infrastructure will increase as we expand our product offerings to utilize and generate data analytics and potentially artificial intelligence (which create emerging enterprise risks, including but not limited to cybersecurity, monitoring, and oversight).",further we expect that the breadth and complexity of our information and technology systems and infrastructure will increase as we expand our product offerings to utilize and generate data analytics and potentially artificial intelligence which create emerging enterprise risks including but not limited to cybersecurity monitoring and oversight,Speculative,,,2024/QTR1/20240208_10-K_edgar_data_10456_0001628280-24-003932.txt,2024,1,10-K,other,10456,1,expansion_2024_batch_03,a35a5742c5bd386f,active_2021_2024,48,0.0,[],,12,Other,unknown,long,TRUE,quarter_round_robin,Speculative,high,"Describes intended expansion to utilize/generate AI and analytics — forward-looking, not a present factual claim.",gpt-5-mini,2026-03-14T17:21:43.226342+00:00,4216d251e781f4a9835e3ead2b855154a0c1af4890bbd244d52f17b7c8b23379
labeling_batch_v3,6bb974605309852e,20260312,quarter_diversity_fill,1865d7b077c10275,fe1bd8c1035f614d,"The risk of a security breach or disruption, particularly through cyber attack or cyber intrusion, including by computer hackers, foreign governments and cyber terrorists, has generally increased as the number, intensity and sophistication of attempted attacks and intrusions from around the world have increased, especially given the use of more advanced hacking tools and techniques and use of artificial intelligence.",the risk of a security breach or disruption particularly through cyber attack or cyber intrusion including by computer hackers foreign governments and cyber terrorists has generally increased as the number intensity and sophistication of attempted attacks and intrusions from around the world have increased especially given the use of more advanced hacking tools and techniques and use of artificial intelligence,Irrelevant,,,2024/QTR1/20240209_10-K_edgar_data_1025996_0001025996-24-000094.txt,2024,1,10-K,other,1025996,1,expansion_2024_batch_02,2d7dbeed170a3173,active_2021_2024,60,0.0,[],,12,Other,unknown,long,TRUE,quarter_round_robin,Irrelevant,high,"Generic risk disclosure about AI-enabled attacks, not a firm capability claim.",gpt-5-mini,2026-03-14T17:21:44.882701+00:00,590fb1f4e07e9cdd1e9ac1ef4087c530d9e42b0d1c2d890f1f650788963b9537
labeling_batch_v3,8090b84ef800c8c3,20260312,quarter_diversity_fill,64e328cfc66a53da,54bfd27f31f9e206,"The risk of a security breach or disruption, particularly through cyber attack, including by computer hackers, foreign governments and cyber terrorists, has generally increased as the number, intensity and sophistication of attempted attacks from around the world have increased, including through the use of artificial intelligence.",the risk of a security breach or disruption particularly through cyber attack including by computer hackers foreign governments and cyber terrorists has generally increased as the number intensity and sophistication of attempted attacks from around the world have increased including through the use of artificial intelligence,Irrelevant,,,2024/QTR1/20240212_10-K_edgar_data_1040765_0000899689-24-000005.txt,2024,1,10-K,other,1040765,1,expansion_2024_batch_03,8e1027b4eed983b9,active_2021_2024,46,0.0,[],,12,Other,unknown,long,TRUE,quarter_round_robin,Irrelevant,high,Generic risk disclosure mentioning AI use; not a firm-specific capability or offering.,gpt-5-mini,2026-03-14T17:21:46.990387+00:00,6e989b27ee0ef78d4d8e37cc462546b4b514dd57e9d193b679d036ecffbbf0c9
labeling_batch_v3,bb25ab87f367ec5a,20260312,quarter_diversity_fill,e0a4a15627a228b0,17d3c0366fab7870,"For example, as artificial intelligence continues to evolve, cyber-attackers could use artificial intelligence to develop malicious code, denial-of-service attacks, sophisticated phishing attempts and other attacks leading to data loss, loss of operational control, or exploitation of inherent vulnerabilities.",for example as artificial intelligence continues to evolve cyber attackers could use artificial intelligence to develop malicious code denial of service attacks sophisticated phishing attempts and other attacks leading to data loss loss of operational control or exploitation of inherent vulnerabilities,Irrelevant,,,2024/QTR1/20240213_10-K_edgar_data_1031296_0001031296-24-000008.txt,2024,1,10-K,other,1031296,1,expansion_2024_batch_02,ede56331e3ff734d,active_2021_2024,38,0.0,[],,12,Other,unknown,long,TRUE,quarter_round_robin,Irrelevant,high,"Generic cyber-risk statement about AI threats, not a firm-specific capability or offering.",gpt-5-mini,2026-03-14T17:21:48.469120+00:00,55210e123c3bb1f8a1d5437438d7ecf069f8be392e2484f9a4d2f7a6a67859e9
labeling_batch_v3,7f7c4ca2cd80f85a,20260312,quarter_diversity_fill,b290e20b38835786,7d28c90834f5a057,"To grow our business, we intend to: Increase market share by developing and delivering a low-code platform for workflow automation and AI-powered decisioning for buyers in marketing, sales, service, operations, and IT that can work together seamlessly with maximum competitive differentiation; Deepen and expand our relationships with existing clients; Establish relationships with new clients; and Continue to scale our marketing efforts to support how today's buyers discover, evaluate, and choose products and services.",to grow our business we intend to increase market share by developing and delivering a low code platform for workflow automation and ai powered decisioning for buyers in marketing sales service operations and it that can work together seamlessly with maximum competitive differentiation deepen and expand our relationships with existing clients establish relationships with new clients and continue to scale our marketing efforts to support how today s buyers discover evaluate and choose products and services,Speculative,,,2024/QTR1/20240214_10-K_edgar_data_1013857_0001013857-24-000012.txt,2024,1,10-K,other,1013857,3,expansion_2024_batch_02,0f96d8607a9c620d,active_2021_2024,73,0.0,[],,12,Other,unknown,long,TRUE,quarter_round_robin,Speculative,high,"Describes intended future actions and aspirations, not a present/past factual claim of capability.",gpt-5-mini,2026-03-14T17:21:49.746412+00:00,731a3ace992f032a6de4685436001a92ca9b5315521005fa8ad78a19b95009e0
